
====================================================================
             Stock Selection & Rejection Explanation Report
====================================================================
Index/File:       microcap250
Strategy Preset:  multibagger
Generated:        2026-07-19 21:28:15 IST
====================================================================

--- SUMMARY ---
Initial pool size:              251 constituents
NSE:PTC          | Low promoter stake (21.7% < 25.0% limit)
NSE:PURVA        | Below 200-Day SMA (Downtrend)
NSE:QPOWER       | Low CROIC (-8.4% < 6.0% limit)
NSE:QUESS        | CapEx YoY reinvestment growth limit exceeded (reinvest multiplier: 2.00)
NSE:RAIN         | Low Capital Efficiency (ROCE < 12.0%)
NSE:RALLIS       | Below 200-Day SMA (Downtrend)
NSE:RATEGAIN     | Low Capital Efficiency (ROCE < 12.0%)
NSE:RATNAMANI    | Operational Criteria failed: only 1/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: true)
NSE:RAYMONDLSL   | Below 200-Day SMA (Downtrend)
NSE:RBA          | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:RCF          | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:REDTAPE      | Low CROIC (5.1% < 6.0% limit)
NSE:REFEX        | Low CROIC (-5.4% < 6.0% limit)
NSE:RELAXO       | Low Capital Efficiency (ROCE < 12.0%)
NSE:RELIGARE     | Low Capital Efficiency (ROCE < 12.0%)
NSE:RENUKA       | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:ROUTE        | Below 200-Day SMA (Downtrend)
NSE:RTNINDIA     | Below 200-Day SMA (Downtrend)
NSE:RTNPOWER     | Below 200-Day SMA (Downtrend)
NSE:RUBICON      | Low CROIC (-1.5% < 6.0% limit)
NSE:SAATVIKGL    | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:SAFARI       | Below 200-Day SMA (Downtrend)
NSE:SAMHI        | Low promoter stake (21.9% < 25.0% limit)
NSE:SANDUMA      | Below 200-Day SMA (Downtrend)
NSE:SANOFICONR   | Operational Criteria failed: only 1/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: true)
NSE:SANSERA      | Low CROIC (-3.4% < 6.0% limit)
NSE:SENCO        | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:SFL          | Low Capital Efficiency (ROCE < 12.0%)
NSE:SHAILY       | Low CROIC (4.5% < 6.0% limit)
NSE:SHAKTIPUMP   | Below 200-Day SMA (Downtrend)
NSE:SHARDACROP   | Below 200-Day SMA (Downtrend)
NSE:SHAREINDIA   | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:SHILPAMED    | Low CROIC (-0.9% < 6.0% limit)
NSE:SHRIPISTON   | Operational Criteria failed: only 0/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: false)
NSE:SKFINDIA     | Below 200-Day SMA (Downtrend)
NSE:SKFINDUS     | Low CROIC (4.8% < 6.0% limit)
NSE:SKIPPER      | Low Interest Coverage (ratio < 3.0)
NSE:SKYGOLD      | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:SMARTWORKS   | Below 200-Day SMA (Downtrend)
NSE:SOUTHBANK    | Low promoter stake (4.9% < 25.0% limit)
NSE:SPARC        | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:STAR         | Low CROIC (5.8% < 6.0% limit)
NSE:STARCEMENT   | Below 200-Day SMA (Downtrend)
NSE:STLTECH      | Low Capital Efficiency (ROCE < 12.0%)
NSE:STYL         | Operational Criteria failed: only 0/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: false)
NSE:STYRENIX     | Low CROIC (1.3% < 6.0% limit)
NSE:SUBROS       | Below 200-Day SMA (Downtrend)
NSE:SUDARSCHEM   | Low Capital Efficiency (ROCE < 12.0%)
NSE:SUDEEPPHRM   | Low CROIC (-4.7% < 6.0% limit)
NSE:SUNTECK      | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:SUPRIYA      | Low CROIC (2.8% < 6.0% limit)
NSE:SURYAROSNI   | Below 200-Day SMA (Downtrend)
NSE:SWSOLAR      | High Debt/Equity (1.83 >= 1.50 cap)
NSE:TARC         | Below 200-Day SMA (Downtrend)
